FLORES-200: 2009 EN sentences
OPUS-100 : 1004000 pairs
trainable params: 1,179,648 || all params: 105,527,296 || trainable%: 1.1179
No checkpoint found — starting from scratch
Starting training now!
{'loss': 6.7675, 'grad_norm': 1.9174213409423828, 'learning_rate': 0.0004130666666666667, 'epoch': 0.52}
{'loss': 6.6727, 'grad_norm': 1.9944905042648315, 'learning_rate': 0.0004125333333333333, 'epoch': 0.52}
{'loss': 6.6756, 'grad_norm': 2.552219867706299, 'learning_rate': 0.000412, 'epoch': 0.53}
{'loss': 6.7079, 'grad_norm': 2.3129560947418213, 'learning_rate': 0.0004114666666666667, 'epoch': 0.53}
{'loss': 6.6109, 'grad_norm': 1.846413493156433, 'learning_rate': 0.0004109333333333333, 'epoch': 0.53}
{'loss': 6.6149, 'grad_norm': 2.1490607261657715, 'learning_rate': 0.0004104, 'epoch': 0.54}
{'loss': 6.7961, 'grad_norm': 2.59841251373291, 'learning_rate': 0.0004098666666666667, 'epoch': 0.54}
{'loss': 6.7878, 'grad_norm': 2.303342342376709, 'learning_rate': 0.0004093333333333333, 'epoch': 0.54}
{'eval_loss': 6.692548751831055, 'eval_bleu': 0.1192, 'eval_chrf': 6.4775, 'eval_runtime': 460.6399, 'eval_samples_per_second': 4.342, 'eval_steps_per_second': 0.271, 'epoch': 0.54}
{'loss': 6.5491, 'grad_norm': 2.283853530883789, 'learning_rate': 0.0004088, 'epoch': 0.55}
{'loss': 6.7319, 'grad_norm': 2.8685684204101562, 'learning_rate': 0.00040826666666666665, 'epoch': 0.55}
{'loss': 6.6573, 'grad_norm': 1.8984380960464478, 'learning_rate': 0.00040773333333333334, 'epoch': 0.55}
{'loss': 7.0269, 'grad_norm': 2.19710373878479, 'learning_rate': 0.00040720000000000003, 'epoch': 0.56}
{'loss': 6.5097, 'grad_norm': 2.012807846069336, 'learning_rate': 0.00040666666666666667, 'epoch': 0.56}
{'loss': 6.7672, 'grad_norm': 2.392160415649414, 'learning_rate': 0.00040613333333333336, 'epoch': 0.56}
{'loss': 6.7027, 'grad_norm': 2.037043333053589, 'learning_rate': 0.00040560000000000005, 'epoch': 0.57}
{'loss': 6.3441, 'grad_norm': 2.5836737155914307, 'learning_rate': 0.0004050666666666667, 'epoch': 0.57}
{'loss': 6.6713, 'grad_norm': 2.27119517326355, 'learning_rate': 0.00040453333333333337, 'epoch': 0.57}
{'loss': 6.5896, 'grad_norm': 2.093111991882324, 'learning_rate': 0.000404, 'epoch': 0.58}
{'eval_loss': 6.666658401489258, 'eval_bleu': 0.1902, 'eval_chrf': 7.6148, 'eval_runtime': 395.6485, 'eval_samples_per_second': 5.055, 'eval_steps_per_second': 0.316, 'epoch': 0.58}
{'loss': 6.7797, 'grad_norm': 2.211843490600586, 'learning_rate': 0.00040346666666666664, 'epoch': 0.58}
{'loss': 6.4551, 'grad_norm': 2.576674461364746, 'learning_rate': 0.00040293333333333333, 'epoch': 0.58}
{'loss': 6.619, 'grad_norm': 2.264130115509033, 'learning_rate': 0.00040239999999999997, 'epoch': 0.59}
{'loss': 6.8428, 'grad_norm': 2.7267661094665527, 'learning_rate': 0.00040186666666666666, 'epoch': 0.59}
{'loss': 6.4356, 'grad_norm': 2.289789915084839, 'learning_rate': 0.00040133333333333335, 'epoch': 0.59}
{'loss': 6.7747, 'grad_norm': 2.2710516452789307, 'learning_rate': 0.0004008, 'epoch': 0.6}
{'loss': 6.637, 'grad_norm': 2.2929439544677734, 'learning_rate': 0.0004002666666666667, 'epoch': 0.6}
{'loss': 6.7214, 'grad_norm': 2.318192958831787, 'learning_rate': 0.00039973333333333336, 'epoch': 0.6}
{'loss': 6.5835, 'grad_norm': 2.478416681289673, 'learning_rate': 0.0003992, 'epoch': 0.6}
{'loss': 6.6215, 'grad_norm': 2.6291897296905518, 'learning_rate': 0.0003986666666666667, 'epoch': 0.61}
{'eval_loss': 6.638279914855957, 'eval_bleu': 0.1962, 'eval_chrf': 7.0688, 'eval_runtime': 395.4235, 'eval_samples_per_second': 5.058, 'eval_steps_per_second': 0.316, 'epoch': 0.61}
{'loss': 6.4113, 'grad_norm': 2.495931625366211, 'learning_rate': 0.0003981333333333333, 'epoch': 0.61}
{'loss': 6.8351, 'grad_norm': 2.604001760482788, 'learning_rate': 0.0003976, 'epoch': 0.61}
{'loss': 6.6535, 'grad_norm': 1.9953192472457886, 'learning_rate': 0.0003970666666666667, 'epoch': 0.62}
{'loss': 6.6088, 'grad_norm': 2.3896963596343994, 'learning_rate': 0.00039653333333333334, 'epoch': 0.62}
{'loss': 6.5192, 'grad_norm': 2.6257684230804443, 'learning_rate': 0.00039600000000000003, 'epoch': 0.62}
{'loss': 6.5925, 'grad_norm': 2.2670111656188965, 'learning_rate': 0.0003954666666666667, 'epoch': 0.63}
